Button1,0,15:24:18.874
X,3,15:24:19.354
Y,-2,15:24:19.354
X,4,15:24:19.354
Y,-3,15:24:19.354
X,5,15:24:19.354
Y,-5,15:24:19.354
Y,-4,15:24:19.354
X,4,15:24:19.354
X,5,15:24:19.466
Y,-5,15:24:19.466
X,4,15:24:19.466
X,5,15:24:19.466
Y,-6,15:24:19.466
Y,-7,15:24:19.466
X,6,15:24:19.466
X,5,15:24:19.466
Y,-8,15:24:19.466
X,4,15:24:19.466
Y,-9,15:24:19.466
Y,-8,15:24:19.466
X,5,15:24:19.466
Y,-6,15:24:19.466
X,8,15:24:19.466
Y,-7,15:24:19.466
X,6,15:24:19.590
Y,-5,15:24:19.590
Y,-3,15:24:19.590
X,7,15:24:19.590
Y,-4,15:24:19.590
X,6,15:24:19.590
Y,-2,15:24:19.590
X,2,15:24:19.590
Y,-1,15:24:19.590
X,5,15:24:19.590
X,4,15:24:19.590
X,1,15:24:19.590
X,2,15:24:19.715
X,4,15:24:19.715
X,7,15:24:19.715
X,8,15:24:19.715
X,7,15:24:19.715
X,6,15:24:19.715
X,4,15:24:19.715
X,2,15:24:19.715
X,1,15:24:19.715
X,2,15:24:19.715
X,3,15:24:19.715
X,4,15:24:19.826
X,8,15:24:19.826
X,5,15:24:19.826
X,7,15:24:19.826
X,5,15:24:19.826
X,6,15:24:19.826
X,2,15:24:19.826
X,5,15:24:19.826
X,3,15:24:19.826
Y,1,15:24:19.826
X,2,15:24:19.826
X,1,15:24:19.826
Y,3,15:24:19.951
X,2,15:24:19.951
Y,2,15:24:19.951
X,3,15:24:19.951
Y,3,15:24:19.951
X,4,15:24:19.951
Y,2,15:24:19.951
X,5,15:24:19.951
X,4,15:24:19.951
X,5,15:24:19.951
Y,3,15:24:19.951
X,2,15:24:19.951
Y,2,15:24:19.951
X,1,15:24:19.951
Y,1,15:24:19.951
X,2,15:24:20.430
X,4,15:24:20.430
X,5,15:24:20.430
Y,2,15:24:20.430
X,6,15:24:20.553
X,1,15:24:20.553
Y,1,15:24:20.553
Y,-1,15:24:20.553
X,-2,15:24:20.789
Y,1,15:24:20.789
X,-1,15:24:20.789
X,-2,15:24:20.913
X,-1,15:24:20.913
X,-2,15:24:20.913
X,-1,15:24:20.913
X,-4,15:24:20.913
Y,2,15:24:20.913
X,-6,15:24:20.913
X,-2,15:24:20.913
X,-4,15:24:20.913
Y,1,15:24:20.913
X,-3,15:24:21.024
X,-1,15:24:21.024
X,1,15:24:21.150
X,2,15:24:21.150
X,1,15:24:21.150
Y,2,15:24:21.384
Button1,1,15:24:21.631
Y,7,15:24:21.984
X,-1,15:24:21.984
Y,8,15:24:21.984
Y,6,15:24:22.112
X,1,15:24:22.112
Y,7,15:24:22.112
X,5,15:24:22.112
Y,6,15:24:22.112
X,7,15:24:22.112
Y,7,15:24:22.112
X,8,15:24:22.112
Y,6,15:24:22.112
X,7,15:24:22.112
Y,7,15:24:22.112
X,4,15:24:22.112
X,2,15:24:22.112
Y,8,15:24:22.112
Y,7,15:24:22.112
Y,8,15:24:22.112
X,-2,15:24:22.112
Y,12,15:24:22.112
X,-1,15:24:22.112
Y,9,15:24:22.112
X,-2,15:24:22.112
Y,8,15:24:22.112
X,-1,15:24:22.112
Y,7,15:24:22.112
Y,6,15:24:22.236
Y,5,15:24:22.236
Y,4,15:24:22.236
Y,5,15:24:22.236
Y,4,15:24:22.236
Y,5,15:24:22.236
Y,2,15:24:22.236
Y,3,15:24:22.236
Y,4,15:24:22.236
Y,5,15:24:22.345
Y,4,15:24:22.345
X,-2,15:24:22.345
Y,3,15:24:22.345
Y,2,15:24:22.345
X,-1,15:24:22.345
X,-2,15:24:22.345
X,-1,15:24:22.345
Y,1,15:24:22.345
Y,-2,15:24:22.470
Y,-1,15:24:22.595
Y,-2,15:24:22.595
Button1,0,15:24:22.828
X,-6,15:24:23.186
X,-8,15:24:23.186
Y,-3,15:24:23.186
X,-10,15:24:23.186
X,-19,15:24:23.186
Y,-8,15:24:23.186
X,-16,15:24:23.186
Y,-6,15:24:23.186
X,-18,15:24:23.186
Y,-7,15:24:23.186
X,-21,15:24:23.186
X,-24,15:24:23.186
X,-25,15:24:23.186
Y,-6,15:24:23.186
X,-27,15:24:23.186
Y,-7,15:24:23.186
X,-29,15:24:23.186
Y,-6,15:24:23.186
X,-30,15:24:23.186
X,-29,15:24:23.186
Y,-4,15:24:23.186
X,-28,15:24:23.314
Y,-5,15:24:23.314
X,-26,15:24:23.314
Y,-6,15:24:23.314
X,-23,15:24:23.314
X,-19,15:24:23.314
Y,-7,15:24:23.314
X,-16,15:24:23.314
Y,-6,15:24:23.314
X,-11,15:24:23.314
X,-9,15:24:23.314
Y,-3,15:24:23.314
X,-5,15:24:23.314
X,-3,15:24:23.314
Y,-1,15:24:23.314
Y,2,15:24:23.546
Y,1,15:24:23.546
X,-1,15:24:23.546
X,-3,15:24:23.546
Y,-1,15:24:23.546
X,-6,15:24:23.546
Y,-2,15:24:23.546
X,-10,15:24:23.546
Y,-3,15:24:23.546
X,-13,15:24:23.671
X,-15,15:24:23.671
Y,-4,15:24:23.671
X,-17,15:24:23.671
Y,-5,15:24:23.671
X,-18,15:24:23.671
Y,-6,15:24:23.671
X,-20,15:24:23.671
X,-21,15:24:23.671
Y,-7,15:24:23.671
X,-20,15:24:23.671
Y,-6,15:24:23.671
Y,-5,15:24:23.671
X,-18,15:24:23.671
X,-17,15:24:23.671
Y,-4,15:24:23.671
Y,-3,15:24:23.671
X,-15,15:24:23.671
X,-14,15:24:23.671
X,-12,15:24:23.671
X,-11,15:24:23.794
Y,-4,15:24:23.794
X,-8,15:24:23.794
X,-7,15:24:23.794
Y,-3,15:24:23.794
X,-4,15:24:23.794
X,-3,15:24:23.794
Y,-4,15:24:23.794
X,-4,15:24:24.151
X,-6,15:24:24.151
X,-8,15:24:24.151
X,-12,15:24:24.151
Y,-1,15:24:24.151
X,-14,15:24:24.151
X,-16,15:24:24.151
X,-17,15:24:24.151
X,-18,15:24:24.151
Y,-2,15:24:24.151
X,-17,15:24:24.151
X,-16,15:24:24.151
Y,-3,15:24:24.151
X,-15,15:24:24.151
X,-22,15:24:24.151
Y,-4,15:24:24.151
X,-15,15:24:24.151
Y,-2,15:24:24.151
Y,-3,15:24:24.277
X,-13,15:24:24.277
Y,-4,15:24:24.277
X,-6,15:24:24.277
Y,-3,15:24:24.277
X,-9,15:24:24.277
Y,-4,15:24:24.277
X,-5,15:24:24.277
Y,-3,15:24:24.277
Y,-1,15:24:24.511
Y,-2,15:24:24.511
X,-1,15:24:24.511
Y,-3,15:24:24.511
X,-3,15:24:24.511
X,-4,15:24:24.511
Y,-4,15:24:24.511
X,-6,15:24:24.511
Y,-5,15:24:24.511
X,-8,15:24:24.511
X,-9,15:24:24.511
X,-11,15:24:24.511
Y,-6,15:24:24.511
X,-13,15:24:24.511
Y,-7,15:24:24.635
Y,-6,15:24:24.635
X,-10,15:24:24.635
Y,-5,15:24:24.635
X,-7,15:24:24.635
X,-4,15:24:24.635
Y,-3,15:24:24.635
X,-3,15:24:24.635
Y,-1,15:24:24.635
X,1,15:24:24.635
X,2,15:24:24.635
Y,-2,15:24:24.635
X,1,15:24:24.635
Y,-1,15:24:24.635
X,3,15:24:24.752
X,4,15:24:24.752
X,2,15:24:24.867
X,1,15:24:24.867
Y,-2,15:24:25.123
Y,-1,15:24:25.123
X,2,15:24:25.237
X,1,15:24:25.237
X,5,15:24:25.347
X,4,15:24:25.347
X,7,15:24:25.473
X,6,15:24:25.473
X,5,15:24:25.473
X,4,15:24:25.473
X,1,15:24:25.473
Y,1,15:24:25.473
X,2,15:24:25.584
X,3,15:24:25.584
Y,2,15:24:25.584
X,5,15:24:25.584
Y,1,15:24:25.584
X,6,15:24:25.584
X,5,15:24:25.584
X,4,15:24:25.584
X,3,15:24:25.584
X,-1,15:24:25.707
X,-3,15:24:25.707
X,-4,15:24:25.707
X,-2,15:24:25.707
X,-1,15:24:25.707
X,-2,15:24:25.954
X,-1,15:24:25.954
X,-2,15:24:25.954
X,-1,15:24:26.063
Y,-1,15:24:26.544
X,1,15:24:26.544
X,-2,15:24:27.390
X,-1,15:24:27.390
Button1,1,15:24:28.714
Y,6,15:24:29.072
Y,3,15:24:29.072
Y,7,15:24:29.072
Y,5,15:24:29.197
Y,6,15:24:29.197
Y,3,15:24:29.197
Y,5,15:24:29.197
Y,4,15:24:29.197
X,1,15:24:29.197
Y,5,15:24:29.197
Y,4,15:24:29.197
Y,5,15:24:29.197
X,2,15:24:29.197
Y,7,15:24:29.197
X,1,15:24:29.197
Y,4,15:24:29.197
Y,5,15:24:29.197
Y,4,15:24:29.197
Y,5,15:24:29.197
X,-1,15:24:29.306
Y,4,15:24:29.306
Y,6,15:24:29.306
Y,3,15:24:29.306
Y,2,15:24:29.306
Y,3,15:24:29.306
Y,2,15:24:29.306
Y,1,15:24:29.306
Y,2,15:24:29.306
Y,1,15:24:29.431
Y,2,15:24:29.431
Y,4,15:24:29.431
Y,6,15:24:29.431
Y,5,15:24:29.431
Y,6,15:24:29.431
Y,4,15:24:29.431
Y,5,15:24:29.431
Y,4,15:24:29.431
X,-2,15:24:29.431
X,-1,15:24:29.431
Y,5,15:24:29.431
X,-2,15:24:29.431
Y,6,15:24:29.431
X,-1,15:24:29.556
Y,5,15:24:29.556
Y,6,15:24:29.556
Y,5,15:24:29.556
Y,9,15:24:29.556
Y,8,15:24:29.556
Y,7,15:24:29.556
X,-2,15:24:29.556
Y,6,15:24:29.556
X,-1,15:24:29.556
Y,4,15:24:29.556
X,-2,15:24:29.556
Button1,0,15:24:29.756
Button2,0,15:24:29.756
Button3,0,15:24:29.756
Button4,0,15:24:29.756
Button5,0,15:24:29.756
Button6,0,15:24:29.756
Button7,0,15:24:29.756
Button8,0,15:24:29.756
Button9,0,15:24:29.756
Button10,0,15:24:29.756
Button11,0,15:24:29.756
Button12,0,15:24:29.756
Button13,0,15:24:29.756
Button14,0,15:24:29.756
Button15,0,15:24:29.756
Button16,0,15:24:29.756
Button17,0,15:24:29.756
Button18,0,15:24:29.756
Button19,0,15:24:29.756
Button20,0,15:24:29.756
Button21,0,15:24:29.756
Button22,0,15:24:29.756
Button23,0,15:24:29.756
Button24,0,15:24:29.756
Button25,0,15:24:29.756
Button26,0,15:24:29.756
Button27,0,15:24:29.756
Button28,0,15:24:29.756
Button29,0,15:24:29.756
Button30,0,15:24:29.756
Button31,0,15:24:29.756
Button32,0,15:24:29.756
Button33,0,15:24:29.756
Button34,0,15:24:29.756
Button35,0,15:24:29.756
Button36,0,15:24:29.756
Button37,0,15:24:29.756
Button38,0,15:24:29.756
Button39,0,15:24:29.756
Button40,0,15:24:29.756
Button41,0,15:24:29.756
Button42,0,15:24:29.756
Button43,0,15:24:29.756
Button44,0,15:24:29.756
Button45,0,15:24:29.756
Button46,0,15:24:29.756
Button47,0,15:24:29.756
Button48,0,15:24:29.756
Button49,0,15:24:29.756
Button50,0,15:24:29.756
Button51,0,15:24:29.756
Button52,0,15:24:29.756
Button53,0,15:24:29.756
Button54,0,15:24:29.756
Button55,0,15:24:29.756
Button56,0,15:24:29.756
Button57,0,15:24:29.756
Button58,0,15:24:29.756
Button59,0,15:24:29.756
Button60,0,15:24:29.756
Button61,0,15:24:29.756
Button62,0,15:24:29.756
Button63,0,15:24:29.756
Button64,0,15:24:29.756
Button65,0,15:24:29.756
Button66,0,15:24:29.756
Button67,0,15:24:29.756
Button68,0,15:24:29.756
Button69,0,15:24:29.756
Button70,0,15:24:29.756
Button71,0,15:24:29.756
Button72,0,15:24:29.756
Button73,0,15:24:29.756
Button74,0,15:24:29.756
Button75,0,15:24:29.756
Button76,0,15:24:29.756
Button77,0,15:24:29.756
Button78,0,15:24:29.756
Button79,0,15:24:29.756
Button80,0,15:24:29.756
Button81,0,15:24:29.756
Button82,0,15:24:29.756
Button83,0,15:24:29.756
Button84,0,15:24:29.756
Button85,0,15:24:29.756
Button86,0,15:24:29.756
Button87,0,15:24:29.756
Button88,0,15:24:29.756
Button89,0,15:24:29.756
Button90,0,15:24:29.756
Button91,0,15:24:29.756
Button92,0,15:24:29.756
Button93,0,15:24:29.756
Button94,0,15:24:29.756
Button95,0,15:24:29.756
Button96,0,15:24:29.756
Button97,0,15:24:29.756
Button98,0,15:24:29.756
Button99,0,15:24:29.756
Button100,0,15:24:29.756
Button101,0,15:24:29.756
Button102,0,15:24:29.756
Button103,0,15:24:29.756
Button104,0,15:24:29.756
